"temperature","Date"
28.7094619893841,"25-11-2021"
33.3709859955683,"26-11-2021"
29.1648233839357,"27-11-2021"
28.2141144824401,"28-11-2021"
32.2668739879318,"29-11-2021"
32.225752543062,"30-11-2021"
28.4891926009837,"01-12-2021"
27.5391291061789,"02-12-2021"
29.5204330448643,"03-12-2021"
29.2883863429539,"04-12-2021"
28.0902230923134,"05-12-2021"
30.3307398469257,"06-12-2021"
28.0556019254029,"07-12-2021"
31.597491254718,"08-12-2021"
32.5881807709602,"09-12-2021"
24.279106286699,"10-12-2021"
29.5890676952805,"11-12-2021"
31.5229494806053,"12-12-2021"
33.3695325376745,"13-12-2021"
29.1610837643221,"14-12-2021"
28.9490861900896,"15-12-2021"
31.868403241164,"16-12-2021"
29.8240358921885,"17-12-2021"
22.6373332106508,"18-12-2021"
27.5036918760464,"19-12-2021"
31.6306551035773,"20-12-2021"
33.5316350973328,"21-12-2021"
32.7128592452174,"22-12-2021"
27.5977866949397,"23-12-2021"
31.6614672414958,"24-12-2021"
33.1183155706269,"25-12-2021"
30.3601010418031,"26-12-2021"
29.0490249526664,"27-12-2021"
30.9417263483163,"28-12-2021"
27.8817184163164,"29-12-2021"
33.1388901004009,"30-12-2021"
32.0677820534585,"31-12-2021"
33.7115358222983,"01-01-2022"
29.965286888948,"02-01-2022"
30.8759298031712,"03-01-2022"
25.0180116244453,"04-01-2022"
26.809893964397,"05-01-2022"
30.4591618478031,"06-01-2022"
24.3225887245807,"07-01-2022"
28.9363351727664,"08-01-2022"
31.9818712313013,"09-01-2022"
33.3912357172113,"10-01-2022"
33.2982465710305,"11-01-2022"
33.7472626322199,"12-01-2022"
32.6961154399073,"13-01-2022"
34.0932012201557,"14-01-2022"
32.5308183085345,"15-01-2022"
34.1119439675133,"16-01-2022"
34.6156825265198,"17-01-2022"
29.2619194281865,"18-01-2022"
32.827046654131,"19-01-2022"
29.9674460565051,"20-01-2022"
31.8320492991391,"21-01-2022"
32.1536543307078,"22-01-2022"
33.6744501796957,"23-01-2022"
32.7175525819151,"24-01-2022"
33.457049748851,"25-01-2022"
33.9757356081282,"26-01-2022"
33.3659838582277,"27-01-2022"
29.2958805910399,"28-01-2022"
33.4407196338615,"29-01-2022"
32.1457912096203,"30-01-2022"
33.4941428391345,"31-01-2022"
33.2110370193769,"01-02-2022"
31.9614382918857,"02-02-2022"
29.3768987044314,"03-02-2022"
28.5571026573045,"04-02-2022"
28.8511368358899,"05-02-2022"
34.2969197863821,"06-02-2022"
33.9227997571394,"07-02-2022"
31.9129021438774,"08-02-2022"
32.667519038993,"09-02-2022"
30.2413002944045,"10-02-2022"
29.2944522314779,"11-02-2022"
29.3107730102371,"12-02-2022"
31.6744614564262,"13-02-2022"
32.0041268256357,"14-02-2022"
32.2353882665149,"15-02-2022"
30.6148722148653,"16-02-2022"
35.841181608968,"17-02-2022"
34.4935095294397,"18-02-2022"
33.6656794206343,"19-02-2022"
28.5276393581747,"20-02-2022"
28.9619680414376,"21-02-2022"
26.3498098425336,"22-02-2022"
26.2277281916841,"23-02-2022"
31.4467964748853,"24-02-2022"
33.8189096782776,"25-02-2022"
30.6628248166712,"26-02-2022"
32.8136047911178,"27-02-2022"
33.677892744185,"28-02-2022"
27.978496093126,"01-03-2022"
28.4843901119079,"02-03-2022"
32.9888826104766,"03-03-2022"
33.6457243545656,"04-03-2022"
35.6060423849849,"05-03-2022"
29.2523332401924,"06-03-2022"
32.6469513051212,"07-03-2022"
31.3686258148402,"08-03-2022"
32.9936841351818,"09-03-2022"
31.0397365604877,"10-03-2022"
31.8370014678384,"11-03-2022"
28.4010357679031,"12-03-2022"
29.8652588241594,"13-03-2022"
30.9515842769295,"14-03-2022"
30.4954228121904,"15-03-2022"
27.5514280274278,"16-03-2022"
28.2400054747332,"17-03-2022"
28.1472657931549,"18-03-2022"
28.985311111284,"19-03-2022"
28.2576144554024,"20-03-2022"
22.2031209474709,"21-03-2022"
28.1689052742813,"22-03-2022"
30.0332363661192,"23-03-2022"
28.9633269641921,"24-03-2022"
29.3045438300539,"25-03-2022"
25.988237516745,"26-03-2022"
20.5236511501949,"27-03-2022"
22.9202271273918,"28-03-2022"
27.4102110358095,"29-03-2022"
30.3880071065552,"30-03-2022"
28.4776293226308,"31-03-2022"
27.9499535305146,"01-04-2022"
33.7159019212006,"02-04-2022"
